"","x"
"134","Cytisus striatus"
"135","Dactylis glomerata"
"136","Dalbergia sissoo"
"137","Delairea odorata"
"138","Dichrostachys cinerea"
"139","Dioscorea bulbifera"
"140","Dioscorea oppositifolia"
"141","Dipogon lignosus"
"142","Duchesnea indica"
"143","Dyssodia tenuiloba"
"144","Egeria densa"
"145","Eichhornia crassipes"
"146","Elaeagnus angustifolia"
"147","Elaeagnus pungens"
"148","Elaeagnus umbellata"
"149","Elaeis guineensis"
"150","Elephantopus mollis"
"151","Elettaria cardamomum"
"152","Elodea canadensis"
"153","Epipremnum pinnatum"
"154","Erigeron karvinskianus"
"155","Eriobotrya japonica"
"156","Erodium cicutarium"
"157","Eugenia uniflora"
"158","Euonymus L."
"159","Euonymus fortunei"
"160","Eupatorium cannabinum"
"161","Euphorbia esula"
"162","Euryops multifidus"
"163","Falcataria moluccana"
"164","Ficus microcarpa"
"165","Ficus rubiginosa"
"166","Flacourtia indica"
"167","Flemingia strobilifera"
"168","Fragaria vesca"
"169","Frangula alnus"
"170","Fraxinus floribunda"
"171","Fuchsia boliviana"
"172","Fuchsia magellanica"
"173","Funtumia elastica"
"174","Furcraea foetida"
"175","Genista monspessulana"
"176","Glyceria maxima"
"177","Grevillea robusta"
"178","Gunnera manicata"
"179","Gunnera tinctoria"
"180","Gymnocoronis spilanthoides"
"181","Haematoxylum campechianum"
"182","Halophila stipulacea"
"183","Hedychium coccineum"
"184","Hedychium coronarium"
"185","Hedychium flavescens"
"186","Hedychium gardnerianum"
"187","Heliotropium curassavicum"
"188","Heracleum mantegazzianum"
"189","Heteropogon contortus"
"190","Hieracium aurantiacum"
"191","Hieracium floribundum"
"192","Hieracium pilosella"
"193","Hiptage benghalensis"
"194","Holcus lanatus"
"195","Houttuynia cordata"
"196","Hydrilla verticillata"
"197","Hydrocharis morsus-ranae"
"198","Hygrophila polysperma"
"199","Hypericum perforatum"
"200","Hypochaeris radicata"
"201","Impatiens glandulifera"
"202","Impatiens walleriana"
"203","Imperata cylindrica"
"204","Ipomoea aquatica"
"205","Ipomoea cairica"
"206","Iris pseudacorus"
"207","Ischaemum polystachyum"
"208","Ischaemum timorense"
"209","Jatropha gossypiifolia"
"210","Juncus tenuis"
"211","Kalanchoe pinnata"
"212","Kunzea ericoides"
"213","Lagarosiphon major"
"214","Landoltia punctata"
"215","Lantana camara"
"216","Launaea intybacea"
"217","Lepidium latifolium"
"218","Lepidium virginicum"
"219","Lespedeza cuneata"
"220","Leucaena leucocephala"
"221","Ligustrum lucidum"
"222","Ligustrum robustum"
"223","Ligustrum sinense"
"224","Ligustrum vulgare"
"225","Limnocharis flava"
"226","Limnophila sessiliflora"
"227","Linaria vulgaris"
"228","Litsea glutinosa"
"229","Livistona chinensis"
"230","Lonicera japonica"
"231","Lonicera maackii"
"232","Lotus corniculatus"
"233","Ludwigia peruviana"
"234","Luzula campestris"
"235","Lythrum salicaria"
"236","Macfadyena unguis-cati"
"237","Melaleuca quinquenervia"
"238","Melastoma candidum"
"239","Melia azedarach"
"240","Melilotus alba"
"241","Melinis minutiflora"
"242","Merremia peltata"
"243","Merremia tuberosa"
"244","Miconia calvescens"
"245","Microstegium vimineum"
"246","Mikania micrantha"
"247","Mimosa diplotricha"
"248","Mimosa pigra"
"249","Mimosa pudica"
"250","Miscanthus sinensis"
"251","Montia fontana"
"252","Morella faya"
"253","Morus alba"
"254","Myriophyllum aquaticum"
"255","Myriophyllum heterophyllum"
"256","Myriophyllum spicatum"
"257","Najas minor"
"258","Nassella neesiana"
"259","Nassella tenuissima"
"260","Neyraudia reynaudiana"
"261","Nicotiana glauca"
"262","Nymphaea odorata"
"263","Nymphoides peltata"
"264","Nypa fruticans"
"265","Ocimum gratissimum"
"266","Oeceoclades maculata"
"267","Olea europaea"
"268","Onopordum acanthium"
"269","Oplismenus undulatifolius"
"270","Opuntia cochenillifera"
"271","Opuntia ficus-indica"
"272","Opuntia monacantha"
"273","Opuntia stricta"
"274","Oxalis corniculata"
"275","Oxalis latifolia"
"276","Oxalis pes-caprae"
"277","Oxycaryum cubense"
"278","Paederia foetida"
"279","Panicum repens"
"280","Parthenium hysterophorus"
"281","Paspalum scrobiculatum"
"282","Paspalum urvillei"
"283","Paspalum vaginatum"
"284","Passiflora edulis"
"285","Passiflora foetida"
"286","Passiflora maliformis"
"287","Passiflora suberosa"
"288","Passiflora tarminiana"
"289","Paulownia tomentosa"
"290","Persicaria perfoliata"
"291","Phalaris arundinacea"
"292","Phoenix canariensis"
"293","Phormium tenax"
"294","Phragmites australis"
"295","Phyllostachys flexuosa"
"296","Physalis peruviana"
"297","Pimenta dioica"
"298","Piper aduncum"
"299","Pistia stratiotes"
"300","Pittosporum tenuifolium"
"301","Pittosporum undulatum"
"302","Pittosporum viridiflorum"
"303","Pluchea carolinensis"
"304","Pluchea indica"
"305","Poa annua"
"306","Poa pratensis"
"307","Polygala paniculata"
"308","Polygonum cuspidatum"
"309","Populus alba"
"310","Potamogeton crispus"
"311","Potamogeton perfoliatus"
"312","Prosopis L."
"313","Prosopis glandulosa"
"314","Prosopis juliflora"
"315","Prunus campanulata"
"316","Psidium cattleianum"
"317","Psidium guajava"
"318","Psoralea pinnata"
"319","Pueraria montana"
"320","Pyrus calleryana"
"321","Ranunculus ficaria"
"322","Rhamnus alaternus"
"323","Rhamnus cathartica"
"324","Rhizophora mangle"
"325","Rhododendron ponticum"
"326","Rhodomyrtus tomentosa"
"327","Rhus longipes"
"328","Ricinus communis"
"329","Robinia pseudoacacia"
"330","Rosa bracteata"
"331","Rosa multiflora"
"332","Rottboellia cochinchinensis"
"333","Rubus alceifolius"
"334","Rubus discolor"
"335","Rubus ellipticus"
"336","Rubus moluccanus"
"337","Rubus niveus"
"338","Rubus pinnatus"
"339","Rubus rosifolius"
"340","Ruellia brevifolia"
"341","Rumex acetosella"
"342","Rumex crispus"
"343","Rumex obtusifolius"
"344","Sacciolepis indica"
"345","Sagina procumbens"
"346","Sagittaria platyphylla"
"347","Sagittaria sagittifolia"
"348","Salix babylonica"
"349","Salix cinerea"
"350","Salix humboldtiana"
"351","Salsola tragus"
"352","Samanea saman"
"353","Sansevieria hyacinthoides"
"354","Sansevieria trifasciata"
"355","Scaevola sericea"
"356","Schefflera actinophylla"
"357","Schinus terebinthifolia"
"358","Schismus barbatus"
"359","Sechium edule"
"360","Senecio angulatus"
"361","Senecio inaequidens"
"362","Senecio jacobaea"
"363","Senecio squalidus"
"364","Senecio viscosus"
"365","Senecio vulgaris"
"366","Senegalia catechu"
"367","Sesbania punicea"
"368","Setaria verticillata"
"369","Solanum mauritianum"
"370","Solanum seaforthianum"
"371","Solanum sisymbriifolium"
"372","Solanum tampicense"
"373","Solanum torvum"
"374","Solanum viarum"
"375","Sonchus asper"
"376","Sonchus oleraceus"
"377","Sorghum halepense"
"378","Spartina alterniflora"
"379","Spartina anglica"
"380","Spartina densiflora"
"381","Spathodea campanulata"
"382","Spermacoce verticillata"
"383","Sphagneticola trilobata"
"384","Spiraea japonica"
"385","Sporobolus africanus"
"386","Stellaria alsine"
"387","Stellaria media"
"388","Striga asiatica"
"389","Strobilanthes hamiltoniana"
"390","Syngonium podophyllum"
"391","Syzygium cumini"
"392","Syzygium jambos"
"393","Tabebuia heterophylla"
"394","Tamarix aphylla"
"395","Tamarix parviflora"
"396","Tamarix ramosissima"
"397","Taraxacum officinale"
"398","Tecoma capensis"
"399","Tecoma stans"
"400","Terminalia catappa"
"401","Thevetia peruviana"
"402","Thunbergia grandiflora"
"403","Tibouchina urvilleana"
"404","Tithonia diversifolia"
"405","Trachycarpus fortunei"
"406","Tradescantia fluminensis"
"407","Tradescantia spathacea"
"408","Trapa natans"
"409","Triadica sebifera"
"410","Trifolium dubium"
"411","Trifolium repens"
"412","Triphasia trifolia"
"413","Tussilago farfara"
"414","Typha latifolia"
"415","Ulex europaeus"
"416","Urochloa maxima"
"417","Urochloa mutica"
"418","Utricularia gibba"
"419","Vachellia drepanolobium"
"420","Vallisneria nana"
"421","Vallisneria spiralis"
"422","Verbascum thapsus"
"423","Verbena brasiliensis"
"424","Verbena rigida"
"425","Veronica serpyllifolia"
"426","Vinca major"
"427","Vitex rotundifolia"
"428","Vulpia bromoides"
"429","Waterhousea floribunda"
"430","Wisteria floribunda"
"431","Wisteria sinensis"
"432","Xanthium spinosum"
"433","Zantedeschia aethiopica"
"434","Zizania latifolia"
"435","Ziziphus mauritiana"
"436","Zostera japonica"
"437","Zostera marina"
