"","x"
"198","Abelmoschus moschatus"
"199","Abies balsamea"
"200","Acacia auriculiformis"
"201","Acacia cyclops"
"202","Acacia farnesiana"
"203","Acacia mangium"
"204","Acacia mearnsii"
"205","Acacia negrii"
"206","Acacia nilotica"
"207","Acacia redolens"
"208","Acacia saligna"
"209","Acacia senegal"
"210","Acacia seyal"
"211","Acacia tortilis"
"212","Acacia verek"
"213","Acanthosicyos horridus"
"214","Acca sellowiana"
"215","Acer saccharum"
"216","Achillea filipendulina"
"217","Achillea millefolium"
"218","Aconitum napellus"
"219","Acorus calamus"
"220","Acroceras macrum"
"221","Acrocomia aculeata"
"222","Actaea racemosa"
"223","Actinidia arguta"
"224","Aegle marmelos"
"225","Aframomum melegueta"
"226","Ageratum conyzoides"
"227","Agropyron cristatum"
"228","Agropyron desertorum"
"229","Agropyron fragile"
"230","Agrostis canina"
"231","Agrostis idahoensis"
"232","Agrostis stolonifera"
"233","Ailanthus altissima"
"234","Albizia lebbeck"
"235","Albizia procera"
"236","Albizia saman"
"237","Aletris farinosa"
"238","Aleurites moluccanus"
"239","Allium ampeloprasum"
"240","Allium chinense"
"241","Allium fistulosum"
"242","Allium schoenoprasum"
"243","Allium thunbergii"
"244","Allium tricoccum"
"245","Allium tuberosum"
"246","Allium vineale"
"247","Alnus glutinosa"
"248","Alnus incana"
"249","Alnus maritima"
"250","Alnus nepalensis"
"251","Aloe vera"
"252","Alopecurus arundinaceus"
"253","Alopecurus pratensis"
"254","Aloysia citriodora"
"255","Alpinia officinarum"
"256","Alysicarpus vaginalis"
"257","Amelanchier amelanchier"
"258","Ammophila arenaria"
"259","Ammophila breviligulata"
"260","Ancistrocladus korupensis"
"261","Andrographis paniculata"
"262","Andropogon gayanus"
"263","Andropogon gerardii"
"264","Andropogon hallii"
"265","Andropogon virginicus"
"266","Anemone hepatica"
"267","Angelica archangelica"
"268","Angelica atropurpurea"
"269","Annona macroprophyllata"
"270","Annona muricata"
"271","Annona purpurea"
"272","Annona reticulata"
"273","Annona scleroderma"
"274","Annona senegalensis"
"275","Annona squamosa"
"276","Anthriscus cerefolium"
"277","Apios americana"
"278","Apocynum cannabinum"
"279","Aralia cordata"
"280","Aralia nudicaulis"
"281","Araliopsis tabouensis"
"282","Arctium lappa"
"283","Arctium minus"
"284","Arctostaphylos uva-ursi"
"285","Argania spinosa"
"286","Arisaema triphyllum"
"287","Aristolochia reticulata"
"288","Aristolochia serpentaria"
"289","Arracacia xanthorrhiza"
"290","Arrhenatherum elatius"
"291","Artemisia abrotanum"
"292","Artemisia absinthium"
"293","Artemisia annua"
"294","Artemisia dracunculus"
"295","Artocarpus integer"
"296","Artocarpus lakoocha"
"297","Arundo donax"
"298","Asarum canadense"
"299","Asclepias syriaca"
"300","Asclepias tuberosa"
"301","Asimina incana"
"302","Asparagus agul"
"303","Astrocaryum aculeatum"
"304","Atriplex hortensis"
"305","Aucuparia americana"
"306","Avicennia germinans"
"307","Avicennia marina"
"308","Avicennia officinalis"
"309","Axonopus fissifolius"
"310","Azadirachta indica"
"311","Baccaurea motleyana"
"312","Bactris gasipaes"
"313","Bambusa bambos"
"314","Baptisia tinctoria"
"315","Barbarea vulgaris"
"316","Bassia scoparia"
"317","Benincasa hispida"
"318","Berberis aquifolium"
"319","Betula lenta"
"320","Blumea lacera"
"321","Borago officinalis"
"322","Bothriochloa bladhii"
"323","Bothriochloa ischaemum"
"324","Bothriochloa pertusa"
"325","Bouteloua curtipendula"
"326","Brachiaria mutica"
"327","Brachiaria ramosa"
"328","Brassica juncea"
"329","Brassica nigra"
"330","Brassica rapa"
"331","Bromus arvensis"
"332","Bromus carinatus"
"333","Bromus catharticus"
"334","Bromus commutatus"
"335","Bromus inermis"
"336","Bromus japonicus"
"337","Bromus marginatus"
"338","Bromus secalinus"
"339","Bromus tectorum"
"340","Bruguiera gymnorhiza"
"341","Buchloe dactyloides"
"342","Bunchosia armeniaca"
"343","Byrsonima crassifolia"
"344","Cactus Britton"
"345","Cajanus cajan"
"346","Calamus rotang"
"347","Calathea allouia"
"348","Calendula officinalis"
"349","Calliandra calothyrsus"
"350","Calotropis gigantea"
"351","Caltha palustris"
"352","Camelina sativa"
"353","Camellia oleifera"
"354","Campanula medium"
"355","Campanula rapunculus"
"356","Canavalia gladiata"
"357","Capparis sicula"
"358","Caragana arborescens"
"359","Carapichea ipecacuanha"
"360","Carica pentagona"
"361","Carissa macrocarpa"
"362","Carissa spinarum"
"363","Carphephorus odoratissimus"
"364","Carum carvi"
"365","Carya alba"
"366","Carya cordiformis"
"367","Carya glabra"
"368","Carya laciniosa"
"369","Carya myristiciformis"
"370","Cassia fistula"
"371","Castanea crenata"
"372","Castanea dentata"
"373","Castanea mollissima"
"374","Castanea pumila"
"375","Casuarina cunninghamiana"
"376","Casuarina equisetifolia"
"377","Casuarina glauca"
"378","Casuarina junghuhniana"
"379","Caulophyllum thalictroides"
"380","Ceiba pentandra"
"381","Celastrus paniculatus"
"382","Celastrus scandens"
"383","Celosia argentea"
"384","Cenchrus ciliaris"
"385","Cerasus tomentosa"
"386","Cerasus vulgaris"
"387","Cereus eburneus"
"388","Ceriops decandra"
"389","Ceriops tagal"
"390","Chaerophyllum bulbosum"
"391","Chamaelirium luteum"
"392","Chamaemelum nobile"
"393","Chamelaucium uncinatum"
"394","Chelidonium majus"
"395","Chelone glabra"
"396","Chenopodium bonus-henricus"
"397","Chenopodium pallidicaule"
"398","Chilopsis linearis"
"399","Chimaphila maculata"
"400","Chimaphila umbellata"
"401","Chionanthus virginicus"
"402","Chloris gayana"
"403","Chlorophytum nzii"
"404","Chondrosum eriopodum"
"405","Chondrosum gracile"
"406","Chrysanthemum coronarium"
"407","Chrysopogon zizanioides"
"408","Chrysothamnus nauseosus"
"409","Cinnamomum cassia"
"410","Cinnamomum zeylanicum"
"411","Cissus quadrangularis"
"412","Citrullus colocynthis"
"413","Citrullus ecirrhosus"
"414","Citrus aurantiifolia"
"415","Citrus aurantium"
"416","Citrus L."
"417","Citrus maxima"
"418","Citrus trifoliata"
"419","Clausena lansium"
"420","Claytonia perfoliata"
"421","Cnicus benedictus"
"422","Cnidoscolus aconitifolius"
"423","Coccoloba uvifera"
"424","Coffea liberica"
"425","Coix lacryma-jobi"
"426","Cola acuminata"
"427","Collinsonia canadensis"
"428","Comptonia peregrina"
"429","Conium maculatum"
"430","Conocarpus erectus"
"431","Copaifera langsdorffii"
"432","Coptis trifolia"
"433","Cordeauxia edulis"
"434","Cordyline fruticosa"
"435","Coriandrum sativum"
"436","Cornus mas"
"437","Corymbia citriodora"
"438","Cotinus coggygria"
"439","Couepia longipendula"
"440","Couma utilis"
"441","Crambe hispanica"
"442","Crambe maritima"
"443","Crataegus aestivalis"
"444","Crataegus opaca"
"445","Crataegus rufula"
"446","Crotalaria juncea"
"447","Crotalaria ochroleuca"
"448","Crotalaria pallida"
"449","Crotalaria spectabilis"
"450","Croton tiglium"
"451","Cryptolepis sanguinolenta"
"452","Cucumis anguria"
"453","Cucumis melo"
"454","Cucumis metuliferus"
"455","Cucurbita argyrosperma"
"456","Cucurbita ficifolia"
"457","Cucurbita foetidissima"
"458","Cucurbita moschata"
"459","Cucurbita purpurea"
"460","Cudrania tricuspidata"
"461","Cyamopsis tetragonoloba"
"462","Cyclanthera pedata"
"463","Cynodon dactylon"
"464","Cyperus papyrus"
"465","Cyperus rotundus"
"466","Cyperus sphacelatus"
"467","Cyphomandra betacea"
"468","Cypripedium parviflorum"
"469","Dactylis glomerata"
"470","Dalbergia sissoo"
"471","Dalea capitata"
"472","Dasylirion longissimum"
"473","Datura stramonium"
"474","Dendrocalamus hait"
"475","Dichanthium annulatum"
"476","Dichanthium aristatum"
"477","Digitaria abyssinica"
"478","Digitaria aequiglumis"
"479","Digitaria eriantha"
"480","Digitaria exilis"
"481","Dimocarpus longan"
"482","Dimorphotheca pluvialis"
"483","Dioscorea bulbifera"
"484","Dioscorea cayenensis"
"485","Dioscorea minutiflora"
"486","Dioscorea polystachya"
"487","Dioscorea villosa"
"488","Diospyros discolor"
"489","Diospyros virginiana"
"490","Diplotaxis muralis"
"491","Diplotaxis tenuifolia"
"492","Dipteryx odorata"
"493","Dovyalis caffra"
"494","Dovyalis hebecarpa"
"495","Drimia maritima"
"496","Dryopteris filix-mas"
"497","Dryopteris marginalis"
"498","Dysphania chilensis"
"499","Echinochloa crus-galli"
"500","Echium plantagineum"
"501","Ehrharta calycina"
"502","Eichhornia crassipes"
"503","Elaeagnus multiflora"
"504","Elaeagnus rhamnoides"
"505","Elaeis oleifera"
"506","Eleocharis dulcis"
"507","Elettaria cardamomum"
"508","Eleusine coracana"
"509","Elymus canadensis"
"510","Elymus elongatus"
"511","Elymus glaucus"
"512","Elymus hispidus"
"513","Elymus lanceolatus"
"514","Elymus repens"
"515","Elymus smithii"
"516","Elymus spicatus"
"517","Elymus trachycaulus"
"518","Epigaea repens"
"519","Eragrostis curvula"
"520","Eragrostis lehmanniana"
"521","Eragrostis trichodes"
"522","Eremochloa ophiuroides"
"523","Ericameria nana"
"524","Erigeron rufescens"
"525","Eriobotrya japonica"
"526","Eriodictyon californicum"
"527","Eruca vesicaria"
"528","Eryngium aquaticum"
"529","Eryngium foetidum"
"530","Erythrina berteroana"
"531","Erythrina fusca"
"532","Erythrina poeppigiana"
"533","Eucalyptus camaldulensis"
"534","Eucalyptus globulus"
"535","Eucalyptus gomphocephala"
"536","Eucalyptus grandis"
"537","Eucalyptus microtheca"
"538","Eucalyptus occidentalis"
"539","Eucalyptus robusta"
"540","Eucalyptus saligna"
"541","Eucalyptus tereticornis"
"542","Eucalyptus viminalis"
"543","Eugenia brasiliensis"
"544","Eugenia luschnathiana"
"545","Eugenia stipitata"
"546","Eugenia uniflora"
"547","Euonymus atropurpureus"
"548","Eupatorium perfoliatum"
"549","Euphorbia lagascae"
"550","Euphorbia lathyris"
"551","Euphorbia tirucalli"
"552","Eutrema japonicum"
"553","Fagopyrum tataricum"
"554","Fagus grandifolia"
"555","Fagus sylvatica"
"556","Faidherbia albida"
"557","Falcataria moluccana"
"558","Festuca arundinacea"
"559","Festuca idahoensis"
"560","Festuca ovina"
"561","Festuca pratensis"
"562","Festuca rubra"
"563","Ficus benghalensis"
"564","Flacourtia indica"
"565","Foeniculum vulgare"
"566","Fragaria chiloensis"
"567","Fragaria vesca"
"568","Fragaria virginiana"
"569","Frangula purshiana"
"570","Fraxinus americana"
"571","Galium odoratum"
"572","Garcinia brasiliensis"
"573","Garcinia hombroniana"
"574","Garcinia kola"
"575","Garcinia livingstonei"
"576","Garcinia macrophylla"
"577","Garcinia mangostana"
"578","Gaultheria procumbens"
"579","Gelsemium sempervirens"
"580","Genipa americana"
"581","Geranium maculatum"
"582","Gerbera jamesonii"
"583","Geum quellyon"
"584","Givotia moluccana"
"585","Gladiolus murielae"
"586","Glechoma hederacea"
"587","Gleditsia triacanthos"
"588","Gliricidia sepium"
"589","Gmelina arborea"
"590","Grewia asiatica"
"591","Grindelia camporum"
"592","Grindelia robusta"
"593","Grindelia squarrosa"
"594","Guizotia abyssinica"
"595","Hamamelis virginiana"
"596","Hebanthe eriantha"
"597","Hedeoma pulegioides"
"598","Hepatica nobilis"
"599","Hesperaloe funifera"
"600","Hesperaloe nocturna"
"601","Hevea brasiliensis"
"602","Hibiscus cannabinus"
"603","Hibiscus L."
"604","Hibiscus sabdariffa"
"605","Hilaria belangeri"
"606","Hilaria jamesii"
"607","Hilaria mutica"
"608","Homalomena pendula"
"609","Hordeum distichon"
"610","Huperzia serrata"
"611","Hydrangea arborescens"
"612","Hydrastis canadensis"
"613","Hymenaea courbaril"
"614","Hypericum perforatum"
"615","Hyptis suaveolens"
"616","Hyssopus officinalis"
"617","Ilex paraguariensis"
"618","Ilex verticillata"
"619","Inga feuilleei"
"620","Inga vera"
"621","Inula helenium"
"622","Ipomoea tiliacea"
"623","Iris versicolor"
"624","Jatropha curcas"
"625","Jeffersonia diphylla"
"626","Juglans cinerea"
"627","Juglans hindsii"
"628","Juglans nigra"
"629","Juniperus communis"
"630","Juniperus virginiana"
"631","Kummerowia stipulacea"
"632","Lactuca serriola"
"633","Laguncularia racemosa"
"634","Lansium domesticum"
"635","Larix laricina"
"636","Lathyrus sativus"
"637","Lawsonia inermis"
"638","Lepargyrea argentea"
"639","Lepidium virginicum"
"640","Leptandra virginica"
"641","Lespedeza juncea"
"642","Leucas cephalotes"
"643","Leucophyllum candidum"
"644","Leucophyllum langmaniae"
"645","Levisticum officinale"
"646","Leymus cinereus"
"647","Leymus condensatus"
"648","Liatris spicata"
"649","Licania platypus"
"650","Limnanthes alba"
"651","Limonia acidissima"
"652","Lobelia inflata"
"653","Lolium multiflorum"
"654","Lolium perenne"
"655","Lonicera caerulea"
"656","Lotus corniculatus"
"657","Lotus pedunculatus"
"658","Lotus tetragonolobus"
"659","Luffa acutangula"
"660","Lunaria annua"
"661","Lupinus albus"
"662","Lupinus angustifolius"
"663","Lupinus luteus"
"664","Lupinus mutabilis"
"665","Lycium chinense"
"666","Macadamia ternifolia"
"667","Macadamia tetraphylla"
"668","Malpighia glabra"
"669","Mammea americana"
"670","Manilkara zapota"
"671","Maranta arundinacea"
"672","Marrubium vulgare"
"673","Matricaria chamomilla"
"674","Matthiola incana"
"675","Maytenus ilicifolia"
"676","Medicago arabica"
"677","Medicago sativa"
"678","Melaleuca quinquenervia"
"679","Melicoccus bijugatus"
"680","Melilotus albus"
"681","Melilotus suaveolens"
"682","Melinis minutiflora"
"683","Melissa officinalis"
"684","Menispermum canadense"
"685","Mentha arvensis"
"686","Mentha longifolia"
"687","Mentha piperita"
"688","Mentha pulegium"
"689","Menyanthes trifoliata"
"690","Mespilus germanica"
"691","Mimosa scabrella"
"692","Mirabilis expansa"
"693","Momordica balsamina"
"694","Monstera deliciosa"
"695","Moringa oleifera"
"696","Mucuna pruriens"
"697","Muhlenbergia sericea"
"698","Muntingia calabura"
"699","Murraya koenigii"
"700","Myrciaria floribunda"
"701","Myrica caroliniensis"
"702","Myrica cerifera"
"703","Myristica fragrans"
"704","Myrrhis odorata"
"705","Nasturtium officinale"
"706","Nelumbo nucifera"
"707","Neonauclea excelsa"
"708","Nepeta cataria"
"709","Nephelium lappaceum"
"710","Nephelium mutabile"
"711","Nicotiana tabacum"
"712","Origanum dictamnus"
"713","Oryzopsis hymenoides"
"714","Oryzopsis miliacea"
"715","Ostrya virginiana"
"716","Oxydendrum arboreum"
"717","Pachira aquatica"
"718","Pachyrhizus erosus"
"719","Paeonia lactiflora"
"720","Panicum antidotale"
"721","Panicum coloratum"
"722","Panicum maximum"
"723","Panicum obtusum"
"724","Panicum repens"
"725","Panicum virgatum"
"726","Papaver somniferum"
"727","Parthenium argentatum"
"728","Parthenium hysterophorus"
"729","Parthenium lozanianum"
"730","Paspalum dilatatum"
"731","Paspalum notatum"
"732","Paspalum urvillei"
"733","Passiflora biflora"
"734","Passiflora edulis"
"735","Passiflora laurifolia"
"736","Passiflora ligularis"
"737","Passiflora maliformis"
"738","Passiflora mollissima"
"739","Passiflora quadrangularis"
"740","Pastinaca sativa"
"741","Paullinia cupana"
"742","Paulownia tomentosa"
"743","Pelargonium graveolens"
"744","Pellaea ovata"
"745","Pennisetum purpureum"
"746","Pereskia aculeata"
"747","Perilla frutescens"
"748","Persicaria acuminata"
"749","Phalaenopsis deliciosa"
"750","Phalaris aquatica"
"751","Phalaris arundinacea"
"752","Phalaris canariensis"
"753","Phalaris coerulescens"
"754","Phaseolus acutifolius"
"755","Phaseolus coccineus"
"756","Phaseolus lunatus"
"757","Phleum pratense"
"758","Phlox paniculata"
"759","Photinia melanocarpa"
"760","Phragmites australis"
"761","Phyllanthus acidus"
"762","Phyllanthus emblica"
"763","Phyllanthus niruri"
"764","Phyllanthus urinaria"
"765","Phyllostachys nigra"
"766","Physalis peruviana"
"767","Physalis philadelphica"
"768","Physaria fendleri"
"769","Phytolacca americana"
"770","Pilocarpus microphyllus"
"771","Pimenta dioica"
"772","Pinus elliottii"
"773","Pinus quadrifolia"
"774","Pinus strobus"
"775","Piper betle"
"776","Piper hispidonervum"
"777","Piper longum"
"778","Piper methysticum"
"779","Pithecellobium dulce"
"780","Pittosporum resiniferum"
"781","Planchonella obovata"
"782","Platonia esculenta"
"783","Platonia insignis"
"784","Plinia cauliflora"
"785","Poa arachnifera"
"786","Poa bulbosa"
"787","Poa compressa"
"788","Poa fendleriana"
"789","Poa juncifolia"
"790","Poa nemoralis"
"791","Poa pratensis"
"792","Poa trivialis"
"793","Polianthes tuberosa"
"794","Polygala senega"
"795","Polymnia sonchifolia"
"796","Pongamia pinnata"
"797","Populus balsamifera"
"798","Populus candicans"
"799","Populus deltoides"
"800","Portulaca oleracea"
"801","Pourouma cecropiifolia"
"802","Pouteria caimito"
"803","Pouteria campechiana"
"804","Pouteria lucuma"
"805","Pouteria sapota"
"806","Proboscidea louisianica"
"807","Prosopis alba"
"808","Prosopis cineraria"
"809","Prosopis glandulosa"
"810","Prosopis pallida"
"811","Prosopis tamarugo"
"812","Prunus angustifolia"
"813","Prunus domestica"
"814","Prunus insititia"
"815","Prunus laurocerasus"
"816","Prunus maritima"
"817","Prunus salicina"
"818","Prunus serotina"
"819","Prunus subcordata"
"820","Psathyrostachys juncea"
"821","Pseudognaphalium obtusifolium"
"822","Pseudosclerochloa rupestris"
"823","Psidium apiculatum"
"824","Psidium cattleianum"
"825","Psidium friedrichsthalianum"
"826","Psidium guineense"
"827","Ptelea trifoliata"
"828","Pterocarpus dalbergioides"
"829","Pueraria montana"
"830","Pyrus communis"
"831","Pyrus pyrifolia"
"832","Quararibea cordata"
"833","Quercus alba"
"834","Rauvolfia serpentina"
"835","Rhizophora mangle"
"836","Rhizophora mucronata"
"837","Rhus glabra"
"838","Ribes hirtellum"
"839","Ribes rubrum"
"840","Ribes sativum"
"841","Ribes uva-crispa"
"842","Ricinus communis"
"843","Robinia pseudoacacia"
"844","Rosmarinus officinalis"
"845","Rubus adenotrichos"
"846","Rubus chamaemorus"
"847","Rubus eriocarpus"
"848","Rubus niveus"
"849","Rubus nubigenus"
"850","Rubus occidentalis"
"851","Rubus roseus"
"852","Rumex acetosa"
"853","Rumex crispus"
"854","Rumex patientia"
"855","Rumex scutatus"
"856","Ruscus hypoglossum"
"857","Ruta graveolens"
"858","Salsola kali"
"859","Sambucus canadensis"
"860","Sambucus nigra"
"861","Sandersonia aurantiaca"
"862","Sandoricum koetjape"
"863","Sanguinaria canadensis"
"864","Sanguisorba minor"
"865","Schinziophyton rautanenii"
"866","Schisandra chinensis"
"867","Schizachne purpurascens"
"868","Schizachyrium scoparium"
"869","Sclerocarya birrea"
"870","Scolymus hispanicus"
"871","Scolymus maculatus"
"872","Scorzonera hispanica"
"873","Scrophularia nodosa"
"874","Sechium edule"
"875","Securigera varia"
"876","Selenicereus megalanthus"
"877","Senecio aureus"
"878","Senna obtusifolia"
"879","Serenoa repens"
"880","Sesbania cannabina"
"881","Sesbania herbacea"
"882","Sesbania javanica"
"883","Sesbania pachycarpa"
"884","Setaria viridis"
"885","Sicana odorifera"
"886","Simmondsia chinensis"
"887","Sinapis alba"
"888","Sinapis arvensis"
"889","Sindora supa"
"890","Sinobambusa sat"
"891","Siraitia grosvenorii"
"892","Sium sisarum"
"893","Smilax pseudochina"
"894","Smyrnium olusatrum"
"895","Solanum americanum"
"896","Solanum betaceum"
"897","Solanum carolinense"
"898","Solanum dulcamara"
"899","Solanum mauritianum"
"900","Solanum pimpinellifolium"
"901","Solanum quitoense"
"902","Solidago odora"
"903","Sonneratia caseolaris"
"904","Sorghastrum nutans"
"905","Sphaeranthus indicus"
"906","Spigelia marilandica"
"907","Spondias mombin"
"908","Spondias tuberosa"
"909","Sporobolus airoides"
"910","Sporobolus cryptandrus"
"911","Sporobolus wrightii"
"912","Stachys affinis"
"913","Stenotaphrum secundatum"
"914","Stevia rebaudiana"
"915","Stipa comata"
"916","Stipa viridula"
"917","Stokesia laevis"
"918","Strychnos cocculoides"
"919","Synsepalum dulcificum"
"920","Syzygium aqueum"
"921","Syzygium cumini"
"922","Syzygium jambos"
"923","Syzygium samarangense"
"924","Tanacetum balsamita"
"925","Tanacetum cinerariifolium"
"926","Tanacetum vulgare"
"927","Taraxacum officinale"
"928","Tetragonia tetragonioides"
"929","Tetraneuris acaulis"
"930","Theobroma bicolor"
"931","Theobroma grandiflorum"
"932","Thuja occidentalis"
"933","Tilia americana"
"934","Trachelium caeruleum"
"935","Tragopogon porrifolius"
"936","Trapa natans"
"937","Triadica sebifera"
"938","Trichosanthes dioica"
"939","Trifolium ambiguum"
"940","Trifolium campestre"
"941","Trifolium dubium"
"942","Trifolium fragiferum"
"943","Trifolium glomeratum"
"944","Trifolium hirtum"
"945","Trifolium hybridum"
"946","Trifolium incarnatum"
"947","Trifolium lappaceum"
"948","Trifolium michelianum"
"949","Trifolium nigrescens"
"950","Trifolium pratense"
"951","Trifolium repens"
"952","Trifolium resupinatum"
"953","Trifolium striatum"
"954","Trifolium subterraneum"
"955","Trifolium variegatum"
"956","Trifolium willdenovii"
"957","Trigonella foenum-graecum"
"958","Trillium erectum"
"959","Trillium grandiflorum"
"960","Triteleia laxa"
"961","Triticum baoeticum"
"962","Triticum carthlicum"
"963","Triticum dicoccon"
"964","Triticum durum"
"965","Triticum monococcum"
"966","Triticum polonicum"
"967","Triticum spelta"
"968","Triticum timopheevii"
"969","Triticum turanicum"
"970","Triticum turgidum"
"971","Tropaeolum majus"
"972","Tropaeolum tuberosum"
"973","Tsuga canadensis"
"974","Tussilago farfara"
"975","Typha angustifolia"
"976","Typha latifolia"
"977","Ullucus tuberosus"
"978","Ulmus rubra"
"979","Uncaria guianensis"
"980","Vaccinium ashei"
"981","Vaccinium deliciosum"
"982","Vaccinium floribundum"
"983","Vaccinium membranaceum"
"984","Vaccinium myrtillus"
"985","Vaccinium ovalifolium"
"986","Vaccinium stenophyllum"
"987","Vaccinium uliginosum"
"988","Vaccinium vitis-idaea"
"989","Valeriana officinalis"
"990","Valerianella eriocarpa"
"991","Valerianella locusta"
"992","Vasconcellea pubescens"
"993","Veltheimia bracteata"
"994","Veratrum viride"
"995","Verbascum thapsus"
"996","Verbena hastata"
"997","Vernicia fordii"
"998","Vernicia montana"
"999","Vernonia galamensis"
"1000","Veronicastrum virginicum"
"1001","Viburnum opulus"
"1002","Viburnum prunifolium"
"1003","Vicia angustifolia"
"1004","Vicia articulata"
"1005","Vicia benghalensis"
"1006","Vicia ervilia"
